reference,famille,libelle,regle_calcul,source,mode,seuil_relatif_defaut,applique_materialite,periodes_tendance,gravite,destinataire_initial,profils_applicables,periodicite,detecte,actif
B02,marge,Taux de marge brute cumulé à date contre N-1,"Marge cumulée / CA cumulé, écart en points",fec,seuil,± 2 points,true,,2,chef_de_mission,T,periodique,Neutralise les effets de cut-off d'une période isolée.,true
B03,marge,Dérive continue du taux de marge,3 périodes consécutives d'évolution dans le même sens,fec,tendance,,false,3,1,chef_de_mission,T,periodique,"CONTRÔLE CENTRAL DU DISPOSITIF. Détecte le glissement lent (dissimulation de recettes, vol interne, erreur de valorisation) qui ne franchit jamais un seuil ponctuel.",true
B04,marge,Marge brute négative sur la période,CA - achats consommés < 0,fec,rupture,,false,,1,chef_de_mission,N,periodique,"Erreur d'imputation, achat non stocké, ou activité vendue à perte.",true
B05,marge,Ratio achats sur chiffre d'affaires contre moyenne mobile 12 mois,"Achats période / CA période, écart en points",fec,seuil,± 3 points,true,,2,collaborateur,T,periodique,"Approche symétrique de la marge, utile lorsque le CA est lui-même douteux.",true
B06,marge,Incohérence achats et variation de stock,Achats - variation de stock hors norme du dossier,fec,seuil,± 20 %,true,,3,collaborateur,N,periodique,"Stock non suivi, inventaire tournant absent, ou achats à usage privé.",true
B07,marge,Nouveau fournisseur significatif,Fournisseur apparu sur la période représentant plus de X % des achats,fec,seuil,> 15 %,true,,3,collaborateur,T,periodique,"Fournisseur fictif, changement de circuit d'approvisionnement, risque de fraude au faux fournisseur.",true
B08,marge,Achat comptabilisé sans pièce justificative,Écriture d'achat sans document lié,fec,rupture,,false,,2,collaborateur,T,periodique,"TVA déduite sans facture, charge non déductible, risque de rejet en contrôle.",true
C01,personnel,Masse salariale de la période contre N-1,"Comptes 641, écart relatif",fec,seuil,± 10 %,true,,3,collaborateur,P,periodique,"Variation d'effectif non signalée, prime exceptionnelle, ou intégration de paie incomplète.",true
C02,personnel,Masse salariale rapportée au chiffre d'affaires,"(641 + 645) / CA, écart en points contre moyenne 12 mois",fec,seuil,± 3 points,true,,2,chef_de_mission,P,periodique,Ratio robuste : les salaires sont réels même lorsque le chiffre d'affaires est minoré. Sa dérive haussière est l'un des meilleurs révélateurs de recettes dissimulées.,true
C03,personnel,Ratio charges sociales sur salaires bruts hors fourchette,645 / 641 hors intervalle attendu du dossier,fec,rupture,hors 35-60 %,false,,1,chef_de_mission,P,periodique,"Intégration de paie partielle, écriture manquante, erreur d'imputation. Contrôle très efficace et quasi jamais mis en défaut.",true
C04,personnel,Écart entre le journal de paie et la comptabilité,Brut du journal de paie - solde des comptes 641 de la période,paie,rupture,,false,,1,chef_de_mission,P,periodique,"Import de paie échoué ou partiel. Contrôle déjà présent dans le dispositif antérieur du cabinet, à conserver.",true
C05,personnel,Absence d'écriture de paie sur une période avec effectif,641 = 0 alors que le dossier a un effectif déclaré,fec,rupture,,false,,1,chef_de_mission,P,periodique,"Oubli d'intégration, décalage de traitement, risque de déclaration sociale incohérente.",true
C06,personnel,Comptes de rémunérations dues non soldés,Solde 421 non apuré au terme de la période suivante,fec,seuil,> 1 période,true,,2,collaborateur,P,periodique,"Salaire non versé, virement non rapproché, ou double comptabilisation.",true
C07,personnel,Comptes d'organismes sociaux non soldés,Solde 43x non apuré après l'échéance DSN correspondante,fec,seuil,> 1 période,true,,2,chef_de_mission,P,periodique,"Cotisations impayées, indice avancé de tension de trésorerie et de risque sur la continuité.",true
C08,personnel,Coût moyen par salarié contre N-1,(641 + 645) / effectif moyen,paie,seuil,± 10 %,false,,3,collaborateur,P,periodique,"Évolution de structure d'effectif, ou effectif comptabilisé incohérent avec l'effectif déclaré.",true
C09,personnel,Productivité apparente,"CA / (641 + 645), écart contre N-1",fec,seuil,± 15 %,false,,3,chef_de_mission,P,periodique,Une productivité qui se dégrade fortement sans changement d'activité interroge la réalité du chiffre d'affaires.,true
D01,tresorerie,Solde de caisse créditeur,Solde 53x < 0 à une date quelconque de la période,fec,rupture,,false,,1,chef_de_mission,E,periodique,Impossibilité physique. Recettes non comptabilisées ou dépenses réglées avec des espèces non enregistrées. Le contrôle qui aurait signalé l'anomalie dès le premier mois.,true
D02,tresorerie,Solde de caisse anormalement élevé,Solde 53x fin de période > N jours de recettes espèces moyennes,fec,seuil,> 5 jours,true,,1,chef_de_mission,E,periodique,"Espèces non déposées, prélèvements du dirigeant non enregistrés, ou recettes fictives.",true
D03,tresorerie,Caisse croissante sans dépôt en banque,3 périodes consécutives de hausse du 53x sans mouvement 58x correspondant,fec,tendance,,false,3,1,expert_comptable,E,periodique,Signal le plus fiable d'un décrochage entre la comptabilité et la réalité des flux.,true
D04,tresorerie,Caisse sans mouvement sur une période d'activité,Aucun mouvement 53x alors que le dossier encaisse habituellement des espèces,fec,rupture,,false,,2,chef_de_mission,E,periodique,Journal de caisse non transmis ou non intégré.,true
D05,tresorerie,Écart entre tickets Z et recettes comptabilisées,Somme des Z de la période - recettes comptabilisées,caisse,rupture,,false,,1,chef_de_mission,E,periodique,"Rapprochement fondamental du contrôle des recettes, rarement automatisé en pratique.",true
D06,tresorerie,Jour d'ouverture sans ticket Z,Jour ouvré sans Z correspondant dans la séquence,caisse,rupture,,false,,2,chef_de_mission,E,periodique,"Rupture de séquence des tickets Z, indice de suppression d'enregistrements.",true
D07,tresorerie,Part des espèces dans le chiffre d'affaires,"Recettes espèces / CA, écart en points contre moyenne 12 mois",fec,seuil,± 5 points,false,,1,chef_de_mission,E,periodique,Baisse anormale de la part des espèces sans changement de clientèle : indice de minoration.,true
D08,tresorerie,Écart entre encaissements carte et remises monétiques,CA carte comptabilisé - remises créditées en banque,bancaire,seuil,> 2 %,true,,1,chef_de_mission,E,periodique,"Recettes carte non comptabilisées, ou compensation avec des espèces manquantes.",true
D09,tresorerie,Solde bancaire comptable différent du relevé,Solde 512 - solde du relevé à la date de clôture de période,bancaire,rupture,,false,,1,collaborateur,T,periodique,"Contrôle de base, à conserver systématique. Aucune période ne devrait être close sans lui.",true
D10,tresorerie,Compte de virements internes non soldé,Solde 58x différent de zéro en fin de période,fec,rupture,,false,,2,collaborateur,T,periodique,"Transfert non abouti, double comptabilisation, ou mouvement de caisse en suspens.",true
D11,tresorerie,Dégradation continue de la trésorerie nette,3 périodes consécutives de baisse de la trésorerie nette,fec,tendance,,false,3,2,chef_de_mission,T,periodique,"Signal avancé de difficulté, déclencheur du devoir d'alerte du professionnel.",true
D12,tresorerie,Justificatif de conformité du logiciel de caisse,"Certificat d'organisme accrédité ou attestation individuelle de l'éditeur, visant la version réellement utilisée",externe,rupture,,false,,2,chef_de_mission,E,annuelle,"Article 286, I-3° bis du CGI. Amende de 7 500 € par logiciel non justifié. Les deux modes de preuve sont à nouveau admis depuis le 21 février 2026 (LF 2026, art. 125), le modèle d'attestation figurant au BOI-LETTRE-000242.",true
E01,bilan,Compte courant d'associé débiteur,Solde 455 débiteur pour un dirigeant personne physique,fec,rupture,,false,,1,expert_comptable,T,periodique,"Interdiction des articles L. 223-21 et L. 225-43 du code de commerce. Qualification possible d'abus de biens sociaux et de revenus distribués. Alerte immédiate, jamais différée.",true
E02,bilan,Variation significative du compte courant d'associé,Variation du 455 sur la période,fec,seuil,± 20 %,true,,2,chef_de_mission,T,periodique,"Apports ou retraits non documentés, confusion des patrimoines.",true
E03,bilan,Capitaux propres inférieurs à la moitié du capital social,Capitaux propres < capital / 2,fec,rupture,,false,,1,expert_comptable,T,annuelle,Obligation de consultation des associés (art. L. 223-42 et L. 225-248 du code de commerce). Responsabilité du dirigeant et devoir d'information du professionnel.,true
E04,bilan,Créances clients échues de plus de 90 jours en augmentation,"Encours échu > 90 j, variation contre période précédente",fec,seuil,+ 20 %,true,,2,chef_de_mission,T,periodique,"Dégradation du recouvrement, provision pour dépréciation à constituer, indice de difficulté client.",true
E05,bilan,Délai moyen de règlement clients,(Créances clients TTC / CA TTC) x nombre de jours de la période,fec,seuil,+ 15 jours,false,,3,collaborateur,T,periodique,"Dérive du besoin en fonds de roulement, base d'une mission de conseil en gestion de trésorerie.",true
E06,bilan,Dettes fournisseurs échues de plus de 60 jours,Encours échu > 60 j (plafond légal de droit commun),fec,seuil,> 0,true,,2,chef_de_mission,T,periodique,"Dépassement des délais de paiement, tension de trésorerie, risque de sanction administrative.",true
E07,bilan,Compte d'attente non soldé,Solde 471 différent de zéro en fin de période,fec,rupture,,false,,2,collaborateur,T,periodique,Opérations non identifiées. Le suivi de l'ancienneté du solde importe davantage que son montant.,true
E08,bilan,Comptes 467 non lettrés de plus de 60 jours,Ancienneté du plus ancien poste non lettré,fec,seuil,> 60 jours,true,,3,collaborateur,T,periodique,"Opérations diverses en attente d'affectation, risque d'oubli à la clôture.",true
E09,bilan,Dettes fiscales et sociales en augmentation continue,3 périodes consécutives de hausse des soldes 43x et 44x,fec,tendance,,false,3,1,expert_comptable,T,periodique,Indicateur avancé le plus fiable de la cessation des paiements. Déclencheur du devoir d'alerte.,true
E10,bilan,Immobilisation acquise non enregistrée au tableau d'amortissement,Écriture en compte 2x sans ligne correspondante au tableau,fec,rupture,,false,,3,collaborateur,T,periodique,"Amortissement omis, résultat surévalué, risque de perte définitive de la déduction.",true
E11,bilan,Charge susceptible de constituer une immobilisation,Écriture en 6x d'un montant unitaire supérieur au seuil,fec,seuil,> 500 € HT,false,,3,collaborateur,T,periodique,"Erreur de qualification, redressement classique en contrôle fiscal.",true
F01,fiscal,Taux implicite de TVA collectée hors fourchette,"TVA collectée / base taxable, contre taux théorique du dossier",fec,seuil,± 1 point,true,,1,chef_de_mission,T,periodique,"Erreur de taux, opération exonérée mal traitée, ou base omise. Contrôle à très fort rendement.",true
F02,fiscal,Taux implicite de TVA déductible hors fourchette,"TVA déductible / achats, contre taux théorique",fec,seuil,± 1 point,true,,2,collaborateur,T,periodique,"TVA déduite à tort, coefficient de déduction non appliqué, TVA sur frais non déductibles.",true
F03,fiscal,Solde du compte de TVA à décaisser différent de la déclaration,Solde 4455 - montant de la CA3 déposée,declaratif,rupture,,false,,1,chef_de_mission,T,periodique,"Écriture de TVA absente ou erronée, décalage non justifié entre comptabilité et déclaration.",true
F04,fiscal,Déclaration non déposée à l'échéance,Absence d'accusé de réception à la date limite,declaratif,rupture,,false,,1,expert_comptable,T,periodique,Défaillance déclarative. Engage directement la responsabilité du cabinet.,true
F05,fiscal,Crédit de TVA reporté sans demande de remboursement,Crédit reporté depuis plus de N périodes,declaratif,seuil,> 2 périodes,true,,3,collaborateur,T,periodique,Trésorerie immobilisée inutilement. Manque à gagner pour le client et sujet de conseil immédiat.,true
F06,fiscal,Écriture postérieure au dépôt d'une déclaration,"Écriture datée d'une période déjà déclarée, saisie après le dépôt",fec,rupture,,false,,1,chef_de_mission,T,periodique,Discordance latente entre comptabilité et déclarations. Nécessite une déclaration rectificative.,true
F07,fiscal,Acompte d'impôt sur les sociétés non réglé,Absence de règlement à l'échéance du 2571,declaratif,rupture,,false,,2,chef_de_mission,T,trimestrielle,Majoration de 5 % et intérêts de retard.,true
F08,fiscal,Incohérence TVA sur les encaissements,"TVA collectée contre encaissements de la période, pour les prestataires",fec,seuil,± 5 %,true,,2,chef_de_mission,L,periodique,"Exigibilité mal appliquée, TVA collectée trop tôt ou trop tard.",true
F09,fiscal,Opération intracommunautaire sans numéro de TVA valide,Livraison exonérée sans numéro validé au VIES,fec,rupture,,false,,2,collaborateur,T,periodique,"Remise en cause de l'exonération, rappel sur le vendeur.",true
F10,fiscal,Flux d'e-reporting manquant sur la période,Absence de transmission des données de transaction ou de paiement,declaratif,rupture,,false,,1,chef_de_mission,T,periodique,"Amende de 250 € par flux manquant, plafonnée à 15 000 € par an. Contrôle à activer selon le calendrier d'entrée du dossier dans la réforme.",true
G01,qualite,Volume anormal d'écritures d'opérations diverses,Nombre d'OD manuelles contre moyenne du dossier,fec,seuil,+ 50 %,false,,3,chef_de_mission,T,periodique,"Reprise en main manuelle d'un dossier, signe d'un problème d'automatisation ou de correction en masse.",true
G02,qualite,Volume de points en suspens en fin de période,Nombre de suspens ouverts,interne,seuil,> 10,false,,2,chef_de_mission,T,periodique,"Saturation du dossier, dégradation prévisible de la qualité de la clôture.",true
G03,qualite,Ancienneté du plus ancien point en suspens,Date du jour - date d'ouverture du plus ancien suspens,interne,seuil,> 60 jours,false,,1,expert_comptable,T,periodique,"Application de la règle cabinet des deux mois. C'est l'ancienneté, et non le volume, qui caractérise la défaillance de suivi.",true
G04,qualite,Taux de lettrage des comptes de tiers,"Postes lettrés / postes totaux, comptes 401 et 411",fec,seuil,< 90 %,false,,3,collaborateur,T,periodique,"Justification des comptes de tiers non aboutie, risque à la clôture.",true
G05,qualite,Programme de travail de la période non validé,Absence de signature du programme à la date d'échéance interne,interne,rupture,,false,,2,chef_de_mission,T,periodique,Absence de preuve de diligence. Point systématiquement examiné en contrôle qualité.,true
G06,qualite,Rupture de séquence dans la numérotation des ventes,Discontinuité de la séquence des factures de vente,fec,rupture,,false,,1,chef_de_mission,T,periodique,"Facture annulée sans avoir, ou facture soustraite. Exigence de chronologie et d'irréversibilité.",true
G07,qualite,Écriture enregistrée tardivement,Date de saisie - date de l'opération,fec,seuil,> 45 jours,true,,2,collaborateur,T,periodique,"Non-respect de l'enregistrement chronologique, difficulté de collecte de la matière.",true
G08,qualite,Dossier sans intervention sur la période contractuelle,Aucune écriture ni temps saisi sur la période prévue à la lettre de mission,interne,rupture,,false,,1,expert_comptable,T,periodique,Dossier oublié. Risque de responsabilité contractuelle et de retard déclaratif en cascade.,true
G09,qualite,Consommation du budget temps,Temps réalisé / budget alloué,interne,seuil,> 80 %,false,,3,chef_de_mission,T,periodique,"Dérive de rentabilité, ou difficulté non remontée sur le dossier.",true
G10,qualite,Alerte clôturée sans motif renseigné,Alerte au statut « clôturée » avec champ motif vide,interne,rupture,,false,,2,expert_comptable,T,periodique,"Contrôle du contrôle. Sans lui, le registre se vide par confort et perd toute valeur probante.",true
